,0
66,Fine Organic Industries Ltd
67,Netweb Technologies India Ltd
68,ROX Hi-Tech Ltd
69,Shelter Pharma Ltd
70,Alphalogic Industries Ltd
71,Innokaiz India Ltd
72,Cochin Minerals & Rutile Ltd
73,CG Power & Industrial Solutions Ltd
74,PVP Ventures Ltd
75,Gujarat Themis Biosyn Ltd
76,Castrol India Ltd
77,Vadilal Enterprises Ltd
78,Deepak Chemtex Ltd
79,Indian Railway Catering & Tourism Corporation Ltd
80,Tata Consultancy Services Ltd
81,Crest Ventures Ltd
82,Sunrest Lifescience Ltd
83,Ahasolar Technologies Ltd
84,Trans India House Impex Ltd
85,Macfos Ltd
86,Electro Force (India) Ltd
87,Clara Industries Ltd
88,Praveg Ltd
89,Accelya Solutions India Ltd
90,Knowledge Marine & Engineering Works Ltd
91,Swaraj Engines Ltd
92,Nicco Parks & Resorts Ltd
93,Baroda Rayon Corporation Ltd
94,Easy Trip Planners Ltd
95,Global Education Ltd
96,Shilchar Technologies Ltd
97,Page Industries Ltd
98,Zeal Global Services Ltd
99,Olatech Solutions Ltd
100,West Coast Paper Mills Ltd
101,Infollion Research Services Ltd
102,Hi-Green Carbon Ltd
103,Vinsys IT Services India Ltd
104,Jeena Sikho Lifecare Ltd
105,Pulz Electronics Ltd
106,Panorama Studios International Ltd
107,Share India Securities Ltd
108,Sigma Solve Ltd
109,Gillette India Ltd
110,Andhra Paper Ltd
111,Indian Energy Exchange Ltd
112,Sumuka Agro Industries Ltd
113,Prudent Corporate Advisory Services Ltd
114,K.P. Energy Ltd
115,Apar Industries Ltd
116,Hindustan Zinc Ltd
117,Bizotic Commercial Ltd
118,Kontor Space Ltd
119,Axita Cotton Ltd
120,Cyber Media (India) Ltd
121,Britannia Industries Ltd
122,Computer Age Management Services Ltd
123,Diamines & Chemicals Ltd
124,Radiant Cash Management Services Ltd
125,Cello World Ltd
126,Refex Industries Ltd
127,Anand Rathi Wealth Ltd
128,Tata Elxsi Ltd
129,Tanfac Industries Ltd
130,Timex Group India Ltd
131,Abhinav Leasing & Finance Ltd
132,Oil Country Tubular Ltd
133,Pentokey Organy (India) Ltd
134,Promact Impex Ltd
135,Aatmaj Healthcare Ltd
136,Kundan Edifice Ltd
137,Spectrum Talent Management Ltd
138,SKM Egg Products Export (India) Ltd
139,Focus Lighting & Fixtures Ltd
140,Micropro Software Solutions Ltd
141,Shree Pacetronix Ltd
142,PNGS Gargi Fashion Jewellery Ltd
143,Hawkins Cookers Ltd
144,Archean Chemical Industries Ltd
145,Chennai Petroleum Corporation Ltd
146,Procter & Gamble Health Ltd
147,Avonmore Capital & Management Services Ltd
148,SKP Bearing Industries Ltd
149,Hemant Surgical Industries Ltd
150,MFS Intercorp Ltd
151,Redtape Ltd
152,Clean Science & Technology Ltd
153,Vinyl Chemicals (I) Ltd
154,Lords Chloro Alkali Ltd
155,Angel One Ltd
156,Primo Chemicals Ltd
157,Motherson Sumi Wiring India Ltd
158,Gujarat Toolroom Ltd
159,Ingersoll-Rand (India) Ltd
160,Jainam Ferro Alloys (I) Ltd
161,Cityman Ltd
162,Concord Control Systems Ltd
163,Transteel Seating Technologies Ltd
164,Maan Aluminium Ltd
165,C P S Shapers Ltd
166,Hemang Resources Ltd
167,Steelcast Ltd
168,Marico Ltd
169,Atam Valves Ltd
170,Mold-Tek Technologies Ltd
171,Sanofi India Ltd
172,Automotive Stampings & Assemblies Ltd
173,Netlink Solutions (India) Ltd
174,Canarys Automations Ltd
175,Systango Technologies Ltd
176,Abbott India Ltd
177,CRISIL Ltd
178,Yudiz Solutions Ltd
179,Sarthak Metals Ltd
180,NINtec Systems Ltd
181,Infosys Ltd
182,Sonal Adhesives Ltd
183,Caprolactam Chemicals Ltd
184,Sar Televenture Ltd
185,Permanent Magnets Ltd
186,Tata Teleservices (Maharashtra) Ltd
187,Vedant Fashions Ltd
188,Sonata Software Ltd
189,Sunrise Efficient Marketing Ltd
190,Syschem (India) Ltd
191,ITC Ltd
192,Expleo Solutions Ltd
193,Ashoka Buildcon Ltd
194,Balaxi Pharmaceuticals Ltd
195,Seacoast Shipping Services Ltd
196,Crayons Advertising Ltd
197,Coromandel International Ltd
198,Mazagon Dock Shipbuilders Ltd
199,Cigniti Technologies Ltd
200,Inspire Films Ltd
201,VST Industries Ltd
202,Add-Shop E-Retail Ltd
203,Tips Films Ltd
204,TGV Sraac Ltd
205,MSTC Ltd
206,Tanla Platforms Ltd
207,Sharda Motor Industries Ltd
208,Galactico Corporate Services Ltd
209,Madhya Bharat Agro Products Ltd
210,Tiger Logistics (India) Ltd
211,LTIMindtree Ltd
212,Holmarc Opto-Mechatronics Ltd
213,Shivalik Bimetal Controls Ltd
214,Anlon Technology Solutions Ltd
215,Safari Industries (India) Ltd
216,Supreme Petrochem Ltd
217,Crestchem Ltd
218,High Energy Batteries (India) Ltd
219,Gandhar Oil Refinery (India) Ltd
220,Taparia Tools Ltd
221,Shantidoot Infra Services Ltd
222,TAAL Enterprises Ltd
223,Inox India Ltd
224,Avantel Ltd
225,Eyantra Ventures Ltd
226,Arrowhead Seperation Engineering Ltd
227,ICE Make Refrigeration Ltd
228,Magson Retail and Distribution Ltd
229,Vistar Amar Ltd
230,Seshasayee Paper & Boards Ltd
231,Dynacons Systems & Solutions Ltd
232,NIIT Learning Systems Ltd
233,Balaji Amines Ltd
234,Paragon Fine and Speciality Chemical Ltd
235,eClerx Services Ltd
236,Fineotex Chemical Ltd
237,Glaxosmithkline Pharmaceuticals Ltd
238,Likhitha Infrastructure Ltd
239,Gandhi Special Tubes Ltd
240,Infinium Pharmachem Ltd
241,Bombay Metrics Supply Chain Ltd
242,BIGBLOC Construction Ltd
243,Cosmic CRF Ltd
244,GHCL Ltd
245,Service Care Ltd
246,Vantage Knowledge Academy Ltd
247,Blue Jet Healthcare Ltd
248,Oracle Financial Services Software Ltd
249,Aptech Ltd
250,M K Exim (India) Ltd
251,Srivari Spices & Foods Ltd
252,Panama Petrochem Ltd
253,Samrat Pharmachem Ltd
254,Solar Industries India Ltd
255,Akzo Nobel India Ltd
256,Imagicaaworld Entertainment Ltd
257,JTL Industries Ltd
258,Silicon Rental Solutions Ltd
259,Aeroflex Industries Ltd
260,Network People Services Technologies Ltd
261,SKF India Ltd
262,Best Agrolife Ltd
263,Asian Paints Ltd
264,Doms Industries Ltd
265,CFF Fluid Control Ltd
266,Indraprastha Medical Corporation Ltd
267,Benares Hotels Ltd
268,Goenka Business & Finance Ltd
269,Beta Drugs Ltd
270,Vishnu Prakash R Punglia Ltd
271,Aananda Lakshmi Spinning Mills Ltd
272,D-Link India Ltd
273,Ion Exchange (India) Ltd
274,MPS Ltd
275,Maitreya Medicare Ltd
276,Bayer CropScience Ltd
277,Kotyark Industries Ltd
278,Evans Electric Ltd
279,Flair Writing Industries Ltd
280,Globe Commercials Ltd
281,Zaggle Prepaid Ocean Services Ltd
282,Saakshi Medtech & Panels Ltd
283,Drone Destination Ltd
284,Sunita Tools Ltd
285,RPG Life Sciences Ltd
286,Credent Global Finance Ltd
287,Nitta Gelatin India Ltd
288,Aditya Birla Sun Life AMC Ltd
289,Last Mile Enterprises Ltd
290,Meson Valves India Ltd
291,EMS Ltd
292,L&T Technology Services Ltd
293,TCI Express Ltd
294,Suven Pharmaceuticals Ltd
295,Pecos Hotels & Pubs Ltd
296,DDev Plastiks Industries Ltd
297,HDFC Asset Management Company Ltd
298,Prevest Denpro Ltd
299,Shanthi Gears Ltd
300,Rathi Steel & Power Ltd
301,Menon Bearings Ltd
302,Goa Carbon Ltd
303,Key Corp Ltd
304,Epigral Ltd
305,Man Infraconstruction Ltd
306,Timescan Logistics (India) Ltd
307,D P Wires Ltd
308,Brand Concepts Ltd
309,EKI Energy Services Ltd
310,Priti International Ltd
311,Stylam Industries Ltd
312,Sahara Maritime Ltd
313,Tirupati Forge Ltd
314,Rolex Rings Ltd
315,ITCONS E-Solutions Ltd
316,Uniparts India Ltd
317,Gravita India Ltd
318,Chaman Metallics Ltd
319,BLS International Services Ltd
320,Narayana Hrudayalaya Ltd
321,Tube Investments of India Ltd
322,CG-VAK Software & Exports Ltd
323,Ram Info Ltd
324,Linc Ltd
325,Gujarat Mineral Development Corporation Ltd
326,DRC Systems India Ltd
327,Galaxy Bearings Ltd
328,Gujarat Gas Ltd
329,Monarch Networth Capital Ltd
330,Magellanic Cloud Ltd
331,Shreyans Industries Ltd
332,Praj Industries Ltd
333,DAPS Advertising Ltd
334,Punjab Chemicals & Crop Protection Ltd
335,Astrazeneca Pharma India Ltd
336,Brightcom Group Ltd
337,Pyramid Technoplast Ltd
338,Automotive Axles Ltd
339,Coforge Ltd
340,Uni Abex Alloy Products Ltd
341,Party Cruisers Ltd
342,Bajaj Steel Industries Ltd
343,Gujarat Containers Ltd
344,R Systems International Ltd
345,IKIO Lighting Ltd
346,Hindustan Aeronautics Ltd
347,Vishnusurya Projects and Infra Ltd
348,Thomas Scott India Ltd
349,B N Rathi Securities Ltd
350,Vinati Organics Ltd
351,Fertilizers & Chemicals Travancore Ltd
352,Central Depository Services (India) Ltd
353,Persistent Systems Ltd
354,Butterfly Gandhimathi Appliances Ltd
355,AGI Infra Ltd
356,Sumitomo Chemical India Ltd
357,NMDC Ltd
358,KPIT Technologies Ltd
359,Vishnu Chemicals Ltd
360,Duncan Engineering Ltd
361,Prolife Industries Ltd
362,Styrenix Performance Materials Ltd
363,Bharat Electronics Ltd
364,Glenmark Life Sciences Ltd
365,Modi's Navnirman Ltd
366,Fidel Softech Ltd
367,Rites Ltd
368,Aaron Industries Ltd
369,Deepak Nitrite Ltd
370,DE Nora India Ltd
371,Amiable Logistics India Ltd
372,Gujarat Fluorochemicals Ltd
373,Presstonic Engineering Ltd
374,Southern Petrochemicals Industries Corporation Ltd
375,Aurangabad Distillery Ltd
376,RMC Switchgears Ltd
377,G-Tec Janix Education Ltd
378,Adinath Textiles Ltd
379,Kilburn Engineering Ltd
380,Saven Technologies Ltd
381,U P Hotels Ltd
382,Kothari Petrochemicals Ltd
383,KFin Technologies Ltd
384,Karnika Industries Ltd
385,Accent Microcell Ltd
386,Jhandewalas Foods Ltd
387,Rajnandini Metal Ltd
388,WPIL Ltd
389,Lloyds Engineering Works Ltd
390,Prakash Pipes Ltd
391,Schaeffler India Ltd
392,C.E. Info Systems Ltd
393,Mphasis Ltd
394,Wendt India Ltd
395,Vasundhara Rasayans Ltd
396,Manav Infra Projects Ltd
397,Dhanalaxmi Roto Spinners Ltd
398,Triveni Turbine Ltd
399,Indo Borax & Chemicals Ltd
400,Advait Infratech Ltd
401,E2E Networks Ltd
402,Mish Designs Ltd
403,Fluidomat Ltd
404,Pakka Ltd
405,Genomic Valley Biotech Ltd
406,JK Paper Ltd
407,Raghav Productivity Enhancers Ltd
408,Zodiac Ventures Ltd
409,Saksoft Ltd
410,Chavda Infra Ltd
411,XPRO India Ltd
412,ARCL Organics Ltd
413,HCL Technologies Ltd
414,Allcargo Terminals Ltd
415,Credo Brands Marketing Ltd
416,Gokul Agro Resources Ltd
417,CMS Info Systems Ltd
418,Chemfab Alkalis Ltd
419,Tata Technologies Ltd
420,India Tourism Development Corporation Ltd
421,Jupiter Infomedia Ltd
422,Emami Ltd
423,Apcotex Industries Ltd
424,Timken India Ltd
425,Dhunseri Ventures Ltd
426,G M Polyplast Ltd
427,Siyaram Silk Mills Ltd
428,Sagar Diamonds Ltd
429,Alkyl Amines Chemicals Ltd
430,V I P Industries Ltd
431,India Pesticides Ltd
432,Foseco India Ltd
433,Global Pet Industries Ltd
434,Madras Fertilizers Ltd
435,Prabhhans Industries Ltd
436,Schneider Electric Infrastructure Ltd
437,Grindwell Norton Ltd
438,Earthstahl & Alloys Ltd
439,Jamna Auto Industries Ltd
440,Titan Biotech Ltd
441,Synoptics Technologies Ltd
442,Godawari Power & Ispat Ltd
443,Varun Beverages Ltd
444,Autoriders International Ltd
445,Happiest Minds Technologies Ltd
446,EID Parry (India) Ltd
447,Eicher Motors Ltd
448,Ugar Sugar Works Ltd
449,Lancer Containers Lines Ltd
450,Committed Cargo Care Ltd
451,Mukta Agriculture Ltd
452,Jubilant Industries Ltd
453,Ratnamani Metals & Tubes Ltd
454,Gretex Corporate Services Ltd
455,Chemcrux Enterprises Ltd
456,MOS Utility Ltd
457,Menon Pistons Ltd
458,Greenpanel Industries Ltd
459,Cargotrans Maritime Ltd
460,Nucleus Software Exports Ltd
461,Oriana Power Ltd
462,Geekay Wires Ltd
463,Century Plyboards (India) Ltd
464,Rajratan Global Wire Ltd
465,Dhanuka Agritech Ltd
466,Polycab India Ltd
467,Madhusudan Masala Ltd
468,APL Apollo Tubes Ltd
469,Balu Forge Industries Ltd
470,Cummins India Ltd
471,Suraj Products Ltd
472,Supreme Industries Ltd
473,Mahanagar Gas Ltd
474,Ador Welding Ltd
475,Precision Wires India Ltd
476,Binny Ltd
477,Panchsheel Organics Ltd
478,Dr Reddys Laboratories Ltd
479,Frog Cellsat Ltd
480,Indraprastha Gas Ltd
481,KMC Speciality Hospitals (India) Ltd
482,Bhagwati Autocast Ltd
483,Jenburkt Pharmaceuticals Ltd
484,Nippon Life India Asset Management Ltd
485,Rolcon Engineering Company Ltd
486,Fiem Industries Ltd
487,Sealmatic India Ltd
488,Nirman Agri Genetics Ltd
489,Yatharth Hospital & Trauma Care Services Ltd
490,Petronet LNG Ltd
491,Gujarat State Petronet Ltd
492,Hindustan Unilever Ltd
493,Sree Rayalaseema Hi-Strength Hypo Ltd
494,NBCC (India) Ltd
495,Cupid Ltd
496,Sungarner Energies Ltd
497,Blue Dart Express Ltd
498,Caplin Point Laboratories Ltd
499,Kewal Kiran Clothing Ltd
500,Asarfi Hospital Ltd
501,Axtel Industries Ltd
502,Chamanlal Setia Exports Ltd
503,Bajaj Auto Ltd
504,Action Construction Equipment Ltd
505,Concord Biotech Ltd
506,Happy Forgings Ltd
507,Pfizer Ltd
508,Tai Industries Ltd
509,Peninsula Land Ltd
510,Cell Point (India) Ltd
511,Innovana Thinklabs Ltd
512,Kamat Hotels (India) Ltd
513,Gujarat Poly Electronics Ltd
514,Deepak Fertilizers & Petrochemicals Corp Ltd
515,Banco Products (India) Ltd
516,BNR Udyog Ltd
517,KEI Industries Ltd
518,DCM Ltd
519,TechNVision Ventures Ltd
520,Roto Pumps Ltd
521,Cera Sanitaryware Ltd
522,Suraj Ltd
523,BF Utilities Ltd
524,Jagsonpal Pharmaceuticals Ltd
525,Maithan Alloys Ltd
526,DC Infotech & Communication Ltd
527,Hindustan Hardy Ltd
528,Shish Industries Ltd
529,Vadilal Industries Ltd
530,Wealth First Portfolio Managers Ltd
531,Sun TV Network Ltd
532,Technopack Polymers Ltd
533,Master Trust Ltd
534,H.G. Infra Engineering Ltd
535,Oil India Ltd
536,Sirca Paints India Ltd
537,Kandagiri Spinning Mills Ltd
538,Brady & Morris Engineering Company Ltd
539,Cantabil Retail India Ltd
540,3M India Ltd
541,Cyber Media Research & Services Ltd
542,Unique Organics Ltd
543,Aditya Vision Ltd
544,Arham Technologies Ltd
545,Goodyear India Ltd
546,Josts Engineering Company Ltd
547,Trident Lifeline Ltd
548,Titan Company Ltd
549,Voltamp Transformers Ltd
550,AIA Engineering Ltd
551,AVT Natural Products Ltd
552,Pradeep Metals Ltd
553,Kavveri Telecom Products Ltd
554,Homesfy Realty Ltd
555,Aurionpro Solutions Ltd
556,Redington Ltd
557,Allsec Technologies Ltd
558,Elecon Engineering Company Ltd
559,BEW Engineering Ltd
560,Goyal Salt Ltd
561,Haria Apparels Ltd
562,PSP Projects Ltd
563,Kingfa Science & Technology (India) Ltd
564,Shriram Pistons & Rings Ltd
565,Ahluwalia Contracts (India) Ltd
566,Shree Ganesh Remedies Ltd
567,KPI Green Energy Ltd
568,Vikram Thermo (India) Ltd
569,DCW Ltd
570,Semac Consultants Ltd
571,Filtra Consultants & Engineers Ltd
572,Royal Orchid Hotels Ltd
573,Rockingdeals Circular Economy Ltd
574,Auro Impex & Chemicals Ltd
575,K P R Mill Ltd
576,Elgi Equipments Ltd
577,India Gelatine & Chemicals Ltd
578,Blue Star Ltd
579,Integra Engineering India Ltd
580,Jupiter Wagons Ltd
581,Metro Brands Ltd
582,Vimta Labs Ltd
583,Savita Oil Technologies Ltd
584,Raaj Medisafe India Ltd
585,Arihant Academy Ltd
586,Garg Furnace Ltd
587,Dixon Technologies (India) Ltd
588,Bisil Plast Ltd
589,L G Balakrishnan & Bros Ltd
590,Platinumone Business Services Ltd
591,Rainbow Childrens Medicare Ltd
592,Magna Electro Castings Ltd
593,Datamatics Global Services Ltd
594,Ruchira Papers Ltd
595,Nikhil Adhesives Ltd
596,Trident Techlabs Ltd
597,D. P. Abhushan Ltd
598,Futuristic Solutions Ltd
599,eMudhra Ltd
600,HMA Agro Industries Ltd
601,Newgen Software Technologies Ltd
602,Agarwal Float Glass India Ltd
603,Tata Communications Ltd
604,Dynamic Cables Ltd
605,Prime Fresh Ltd
606,Creative Newtech Ltd
607,Pidilite Industries Ltd
608,Innova Captab Ltd
609,Berger Paints India Ltd
610,Krishna Institute of Medical Sciences Ltd
611,Engineers India Ltd
612,SBC Exports Ltd
613,Grauer & Weil (India) Ltd
614,Sai Silks (Kalamandir) Ltd
615,RBZ Jewellers Ltd
616,Alufluoride Ltd
617,Ekennis Software Service Ltd
618,Arvind & Company Shipping Agencies Ltd
619,Kaycee Industries Ltd
620,Tinna Rubber & Infrastructure Ltd
621,Galaxy Surfactants Ltd
622,Astral Ltd
623,Agarwal Industrial Corporation Ltd
624,HLE Glascoat Ltd
625,Gulf Oil Lubricants India Ltd
626,Mastek Ltd
627,Annapurna Swadisht Ltd
628,PDS Ltd
629,Dhunseri Investments Ltd
630,Arvee Laboratories (India) Ltd
631,EIH Associated Hotels Ltd
632,Adroit Infotech Ltd
633,Family Care Hospitals Ltd
634,Kamdhenu Ltd
635,Abhinav Capital Services Ltd
636,Dolat Algotech Ltd
637,KSB Ltd
638,Bodhi Tree Multimedia Ltd
639,Srivasavi Adhesive Tapes Ltd
640,Shri Techtex Ltd
641,Rajgor Castor Derivatives Ltd
642,Control Print Ltd
643,Ganesh Housing Corporation Ltd
644,ABB India Ltd
645,MMTC Ltd
646,Campus Activewear Ltd
647,Indrayani Biotech Ltd
648,Par Drugs & Chemicals Ltd
649,Venus Pipes & Tubes Ltd
650,Lakshmi Machine Works Ltd
651,Kahan Packaging Ltd
652,Gujarat Narmada Valley Fertilizers & Chemicals Ltd
653,Kama Holdings Ltd
654,IIFL Securities Ltd
655,AXISCADES Technologies Ltd
656,Prerna Infrabuild Ltd
657,Surya Roshni Ltd
658,KPT Industries Ltd
659,Loyal Equipments Ltd
660,Talbros Engineering Ltd
661,Dabur India Ltd
662,Hero MotoCorp Ltd
663,Sheetal Cool Products Ltd
664,Shree Digvijay Cement Co. Ltd
665,Parker Agrochem Exports Ltd
666,Gufic BioSciences Ltd
667,Everlon Financials Ltd
668,Ajanta Pharma Ltd
669,Kaushalya Infrastructure Development Corpn Ltd
670,Jash Engineering Ltd
671,Unihealth Consultancy Ltd
672,Ador Fontech Ltd
673,J B Chemicals & Pharmaceuticals Ltd
674,Debock Industries Ltd
675,Nirlon Ltd
676,SRF Ltd
677,Titan Intech Ltd
678,Transport Corporation of India Ltd
679,Yasho Industries Ltd
680,Havells India Ltd
681,D.K. Enterprises Global Ltd
682,Bondada Engineering Ltd
683,Suraj Estate Developers Ltd
684,Kreon Finnancial Services Ltd
685,Marksans Pharma Ltd
686,Power Mech Projects Ltd
687,Laurus Labs Ltd
688,Bombay Super Hybrid Seeds Ltd
689,MTAR Technologies Ltd
690,Tech Mahindra Ltd
691,Pentagon Rubber Ltd
692,Saroja Pharma Industries India Ltd
693,La Opala RG Ltd
694,TD Power Systems Ltd
695,Sona BLW Precision Forgings Ltd
696,Bhagiradha Chemicals & Industries Ltd
697,GMM Pfaudler Ltd
698,Route Mobile Ltd
699,Kuantum Papers Ltd
700,Wonderla Holidays Ltd
701,Continental Petroleums Ltd
702,Banswara Syntex Ltd
703,Gabriel India Ltd
704,TCPL Packaging Ltd
705,Megastar Foods Ltd
706,RACL Geartech Ltd
707,I G Petrochemicals Ltd
708,NESCO Ltd
709,Shyam Century Ferrous Ltd
710,ADC India Communications Ltd
711,Shankar Lal Rampal Dye-Chem Ltd
712,TajGVK Hotels & Resorts Ltd
713,Resgen Ltd
714,Shri Gang Industries & Allied Products Ltd
715,Mangalam Seeds Ltd
716,Sheetal Universal Ltd
717,Lincoln Pharmaceuticals Ltd
718,Kirloskar Brothers Ltd
719,SNL Bearings Ltd
720,P I Industries Ltd
721,Vaishali Pharma Ltd
722,Aplab Ltd
723,G R Infraprojects Ltd
724,NELCO Ltd
725,Maruti Interior Products Ltd
726,Supershakti Metaliks Ltd
727,Elantas Beck India Ltd
728,N R Agarwal Industries Ltd
729,Indigo Paints Ltd
730,Kaynes Technology India Ltd
731,Godfrey Phillips India Ltd
732,Suyog Telematics Ltd
733,Fairchem Organics Ltd
734,Jupiter Life Line Hospitals Ltd
735,Gokaldas Exports Ltd
736,Steel Strips Wheels Ltd
737,GNA Axles Ltd
738,Tega Industries Ltd
739,Quasar India Ltd
740,Raymond Ltd
741,Chennai Meenakshi Multispeciality Hospital Ltd
742,Spectrum Foods Ltd
743,Bansal Roofing Products Ltd
744,Usha Martin Ltd
745,ICICI Lombard General Insurance Company Ltd
746,Danlaw Technologies India Ltd
747,Garware Technical Fibres Ltd
748,Deepak Spinners Ltd
749,Rashtriya Chemicals & Fertilizers Ltd
750,Vedanta Ltd
751,SecUR Credentials Ltd
752,Kirloskar Electric Company Ltd
753,Medico Remedies Ltd
754,Edvenswa Enterprises Ltd
755,Touchwood Entertainment Ltd
756,All E Technologies Ltd
757,Ganesh Benzoplast Ltd
758,Agarwal Fortune India Ltd
759,B & A Packaging India Ltd
760,RDB Rasayans Ltd
761,Advik Capital Ltd
762,Dynamic Services & Security Ltd
763,Maximus International Ltd
764,Bajaj Consumer Care Ltd
765,Jindal Poly Investment & Finance Company Ltd
766,Mazda Ltd
767,POCL Enterprises Ltd
768,Mrs Bectors Food Specialities Ltd
769,Goldiam International Ltd
770,Arrow Greentech Ltd
771,KRBL Ltd
772,Great Eastern Shipping Company Ltd
773,Yasons Chemex Care Ltd
774,Neuland Laboratories Ltd
775,Master Components Ltd
776,Indo Tech Transformers Ltd
777,Linde India Ltd
778,Keltech Energies Ltd
779,Suzlon Energy Ltd
780,Uma Exports Ltd
781,Jindal Stainless Ltd
782,KNR Constructions Ltd
783,Thejo Engineering Ltd
784,Plada Infotech Services Ltd
785,Sharda Cropchem Ltd
786,Universal Autofoundry Ltd
787,Bihar Sponge Iron Ltd
788,Ambika Cotton Mills Ltd
789,Adani Total Gas Ltd
790,Mankind Pharma Ltd
791,Gujarat Pipavav Port Ltd
792,Tamil Nadu Newsprint & Papers Ltd
793,General Insurance Corporation of India
794,Siemens Ltd
795,Goyal Associates Ltd
796,Craftsman Automation Ltd
797,Ami Organics Ltd
798,Amba Enterprises Ltd
799,Sayaji Hotels Ltd
800,Rithwik Facility Management Services Ltd
801,Emkay Taps & Cutting Tools Ltd
802,Asahi India Glass Ltd
803,Avro India Ltd
804,Mallcom (India) Ltd
805,Vishal Bearings Ltd
806,Paushak Ltd
807,Navin Fluorine International Ltd
808,R O Jewels Ltd
809,Bharat Rasayan Ltd
810,Monte Carlo Fashions Ltd
811,Hindustan Oil Exploration Company Ltd
812,BDH Industries Ltd
813,Advance Petrochemicals Ltd
814,Black Box Ltd
815,Hisar Spinning Mills Ltd
816,Ducol Organics & Colours Ltd
817,Alphalogic Techsys Ltd
818,P.E. Analytics Ltd
819,Garden Reach Shipbuilders & Engineers Ltd
820,ASK Automotive Ltd
821,Satia Industries Ltd
822,Amara Raja Energy & Mobility Ltd
823,DSJ Keep Learning Ltd
824,Kunststoffe Industries Ltd
825,Vardhman Special Steels Ltd
826,Affle India Ltd
827,Shri Venkatesh Refineries Ltd
828,A B Infrabuild Ltd
829,BASF India Ltd
830,Bhatia Communications & Retail (India) Ltd
831,Foce India Ltd
832,Avenue Supermarts Ltd
833,Mangalore Refinery And Petrochemicals Ltd
834,Yug Decor Ltd
835,Pricol Ltd
836,Landmark Cars Ltd
837,United Spirits Ltd
838,Mahalaxmi Seamless Ltd
839,Flomic Global Logistics Ltd
840,RRIL Ltd
841,Moxsh Overseas Educon Ltd
842,Cybertech Systems & Software Ltd
843,Shreeji Translogistics Ltd
844,ICRA Ltd
845,Transpek Industry Ltd
846,Sula Vineyards Ltd
847,RBM Infracon Ltd
848,S J S Enterprises Ltd
849,Apollo Finvest (India) Ltd
850,Indian Acrylics Ltd
851,Maharashtra Seamless Ltd
852,Torrent Pharmaceuticals Ltd
853,Cyient Ltd
854,Tide Water Oil Co (I) Ltd
855,GTN Industries Ltd
856,Shri Jagdamba Polymers Ltd
857,One Global Service Provider Ltd
858,Themis Medicare Ltd
859,Ascensive Educare Ltd
860,Kajaria Ceramics Ltd
861,G M Breweries Ltd
862,Jainex Aamcol Ltd
863,Associated Ceramics Ltd
864,Carborundum Universal Ltd
865,DHP India Ltd
866,Sanmit Infra Ltd
867,Insolation Energy Ltd
868,Transvoy Logistics India Ltd
869,Technocraft Industries (India) Ltd
870,Sigachi Industries Ltd
871,Data Patterns (India) Ltd
872,Mold-Tek Packaging Ltd
873,Premier Polyfilm Ltd
874,Bata India Ltd
875,Shree OSFM E-Mobility Ltd
876,Honeywell Automation India Ltd
877,Pix Transmission Ltd
878,Prithvi Exchange (India) Ltd
879,Indian Toners & Developers Ltd
